name,serving_size,protein,carbohydrates,sugar,fiber,water,calories,total_fat
"Tangerines, juice pack, canned, (mandarin oranges)",100 g,0.62 g,9.57 g,8.87 g,0.7 g,89.51 g,37,0g
"Pork, cooked, lean and fat, low sodium, ham, cured",100 g,22.30 g,0.30 g,0.00 g,0.0 g,65.10 g,172,8.3g
"Cereals ready-to-eat, KELLOGG'S SPECIAL K, KELLOGG",100 g,17.79 g,73.40 g,12.69 g,1.4 g,3.00 g,377,1.8g
"Cereals ready-to-eat, KELLOGG'S CORN POPS, KELLOGG",100 g,4.80 g,89.70 g,31.30 g,8.4 g,3.00 g,387,1.3g
"KEEBLER, Holiday, Merry Mint Patties, FUDGE SHOPPE",100 g,2.90 g,66.70 g,44.30 g,1.4 g,1.00 g,528,28g
"Turkey, roasted, meat only, from whole bird, thigh",100 g,27.71 g,0.00 g,0.00 g,0.0 g,65.23 g,165,6g
"Gravy, fat free, slow roast, beef, FRANCO-AMERICAN",100 g,1.69 g,5.08 g,0,0,89.60 g,34,0g
"Snacks, 90 Calorie Bar, chewy, QUAKER, granola bar",100 g,4.17 g,79.17 g,29.17 g,4.2 g,6.23 g,408,8.3g
"Chayote, with salt, drained, boiled, cooked, fruit",100 g,0.62 g,4.50 g,1.89 g,2.8 g,93.43 g,22,0.5g
"Lupins, without salt, boiled, cooked, mature seeds",100 g,15.57 g,9.88 g,0,2.8 g,71.08 g,119,2.9g
"Turnover, frozen, meat and cheese, filled with egg",100 g,7.87 g,20.67 g,7.87 g,0.8 g,57.21 g,228,13g
"Beet greens, without salt, drained, boiled, cooked",100 g,2.57 g,5.46 g,0.60 g,2.9 g,89.13 g,27,0.2g
"Turkey, raw, with added solution, meat only, whole",100 g,20.87 g,0.14 g,0.06 g,0.0 g,76.25 g,105,2.4g
"KEEBLER, Garlic Herb Crackers, TOPPERS, TOWN HOUSE",100 g,6.40 g,71.60 g,8.00 g,2.8 g,1.90 g,483,19g
"CAMPBELL'S Red and White, condensed, Beef Consomme",100 g,3.23 g,0.81 g,0.81 g,0.0 g,93.50 g,16,0g
"Doughnuts, sugared or glazed, chocolate, cake-type",100 g,4.50 g,57.40 g,31.92 g,2.2 g,16.30 g,417,20g
"Restaurant, arroz con leche (rice pudding), Latino",100 g,3.20 g,24.92 g,15.26 g,0.5 g,67.39 g,146,3.7g
"HORMEL ALWAYS TENDER, Fresh Pork, Center Cut Chops",100 g,18.74 g,0.84 g,0.28 g,0,69.17 g,167,9.6g
"Nuts, with salt added, dry roasted, macadamia nuts",100 g,7.79 g,12.83 g,4.14 g,8.0 g,1.61 g,716,76g
"WORTHINGTON Vegetable Skallops, unprepared, canned",100 g,19.90 g,4.60 g,0.30 g,3.4 g,73.00 g,109,1.2g
"Beef, raw, select, separable lean and fat, carcass",100 g,17.48 g,0.00 g,0,0.0 g,58.21 g,278,23g
"Beef, raw, choice, separable lean and fat, carcass",100 g,17.32 g,0.00 g,0,0.0 g,57.26 g,291,24g
"KEEBLER, Peanut Creme Filled Cookies, FUDGE SHOPPE",100 g,7.20 g,57.60 g,30.30 g,3.3 g,2.00 g,537,31g
"KEEBLER, Triple Fudge Filled Cookies, FUDGE SHOPPE",100 g,3.60 g,64.20 g,42.70 g,3.0 g,1.20 g,533,29g
"KEEBLER, Fudge-Dipped Ice Cream Cups, FUDGE SHOPPE",100 g,6.00 g,73.10 g,25.70 g,2.2 g,1.00 g,485,19g
"ARCHWAY Home Style Cookies, Old Fashioned Molasses",100 g,4.27 g,70.55 g,36.09 g,1.1 g,10.41 g,406,12g
"Plums, without added sugar, stewed, dried (prunes)",100 g,0.96 g,28.08 g,24.98 g,3.1 g,69.73 g,107,0.2g
"Nuts, with salt added, dry roasted, pistachio nuts",100 g,21.05 g,27.55 g,7.74 g,10.3 g,1.79 g,569,46g
"Peas, without salt, drained, boiled, cooked, green",100 g,5.36 g,15.63 g,5.93 g,5.5 g,77.87 g,84,0.2g
"Peas, without salt, drained, boiled, edible-podded",100 g,3.27 g,7.05 g,3.99 g,2.8 g,88.91 g,42,0.2g
"Pork, raw, separable lean only, whole, loin, fresh",100 g,21.43 g,0.00 g,0.00 g,0.0 g,72.23 g,143,5.7g
"Nuts, without salt added, dry roasted, cashew nuts",100 g,15.31 g,32.69 g,5.01 g,3.0 g,1.70 g,574,46g
"Nuts, without salt added, oil roasted, cashew nuts",100 g,16.84 g,29.87 g,5.01 g,3.3 g,3.48 g,580,48g
"Chicken, meat only, wing, BBQ, rotisserie, broiler",100 g,28.34 g,0.54 g,0.53 g,0.0 g,62.87 g,184,7.8g
"USDA Commodity Chicken, drained, meat only, canned",100 g,27.52 g,0.00 g,0.00 g,0.0 g,67.29 g,162,5.7g
"Beans, microwaved, all styles, frozen, green, snap",100 g,1.98 g,6.98 g,2.60 g,3.4 g,89.93 g,40,0.4g
"Beans, unprepared, all styles, frozen, green, snap",100 g,1.79 g,7.54 g,2.21 g,2.6 g,89.93 g,39,0.2g
"Mushroom, raw, exposed to ultraviolet light, white",100 g,3.09 g,3.26 g,1.98 g,1.0 g,92.45 g,22,0.3g
"Duck, roasted, cooked, meat and skin, domesticated",100 g,18.99 g,0.00 g,0.00 g,0.0 g,51.84 g,337,28g
"Candies, COCOAVIA Chocolate Bar, MARS SNACKFOOD US",100 g,5.81 g,62.99 g,39.19 g,8.7 g,0.70 g,539,29g
"Beverages, prepared with tap water, brewed, coffee",100 g,0.12 g,0.00 g,0.00 g,0.0 g,99.39 g,1,0g
"Fish, breaded and fried, cooked, Atlantic, croaker",100 g,18.20 g,7.54 g,0,0.4 g,59.76 g,221,13g
"Crackers, multi-seeded and multigrain, gluten-free",100 g,11.25 g,66.30 g,0.86 g,10.2 g,3.59 g,453,16g
"Cookies, baked, refrigerated dough, chocolate chip",100 g,4.90 g,68.20 g,0,1.7 g,3.00 g,492,23g
"Beverages, unsweetened, ready to drink, green, tea",100 g,0.00 g,0.00 g,0.00 g,0.0 g,99.88 g,0,0g
"Cereals ready-to-eat, COUNT CHOCULA, GENERAL MILLS",100 g,5.40 g,84.50 g,33.09 g,5.0 g,1.89 g,383,4.7g
"MURRAY, Vanilla Creme Sandwich Cookies, SUGAR FREE",100 g,4.90 g,70.00 g,1.20 g,3.4 g,2.00 g,467,23g
"Leeks, freeze-dried, (bulb and lower-leaf portion)",100 g,15.20 g,74.65 g,0,10.4 g,2.00 g,321,2.1g
"Soup, condensed, canned, new england, clam chowder",100 g,3.17 g,10.32 g,0.38 g,0.7 g,81.49 g,72,2.1g
"Pork, crumbles, cooked, 84% lean / 16% fat, ground",100 g,26.69 g,0.58 g,0.00 g,0.0 g,51.35 g,289,20g
"Pork, crumbles, cooked, 72% lean / 28% fat, ground",100 g,22.83 g,1.39 g,0.00 g,0.0 g,41.67 g,393,33g
"Beverages, brewed, other than chamomile, herb, tea",100 g,0.00 g,0.20 g,0.00 g,0.0 g,99.70 g,1,0g
"CAMPBELL'S Red and White, condensed, Chicken Broth",100 g,0.81 g,0.81 g,0.81 g,0.0 g,95.90 g,16,0.8g
"KELLOGG'S, Chocolate Chip, FIBERPLUS Waffles, EGGO",100 g,4.30 g,44.40 g,10.90 g,12.9 g,36.80 g,259,11g
"Alcoholic Beverage, Petite Sirah, red, table, wine",100 g,0.07 g,2.68 g,0,0,86.22 g,85,0g
"McDONALD'S, Bacon Ranch Salad with Grilled Chicken",100 g,10.28 g,3.64 g,1.73 g,1.0 g,81.42 g,81,3.1g
"Ground turkey, broiled, patties, 15% fat, 85% lean",100 g,25.88 g,0.00 g,0.00 g,0.0 g,58.25 g,249,16g
"Soup, condensed, canned, vegetable with beef broth",100 g,2.42 g,10.70 g,1.64 g,1.3 g,83.27 g,66,1.6g
"Beef, raw, subcutaneous fat, imported, New Zealand",100 g,8.50 g,0.00 g,0.00 g,0.0 g,19.91 g,685,72g
"Puddings, with added oil, instant, dry mix, banana",100 g,0.00 g,89.00 g,0,0.0 g,2.80 g,386,4.4g
"Spinach, solids and liquids, no salt added, canned",100 g,2.11 g,2.92 g,0.33 g,2.2 g,93.22 g,19,0.4g
"Rennin, prepared with whole milk, dry mix, vanilla",100 g,3.03 g,12.21 g,0,0.0 g,80.98 g,89,3.1g
"Waffle, toasted, ready-to-heat, frozen, buttermilk",100 g,7.42 g,48.39 g,4.41 g,2.6 g,31.57 g,309,9.5g
"Alcoholic beverage, Chardonnay, white, table, wine",100 g,0.07 g,2.16 g,0.96 g,0.0 g,86.85 g,84,0g
"Fruit juice smoothie, BERRY BOOST, BOLTHOUSE FARMS",100 g,0.63 g,10.90 g,9.30 g,0.0 g,88.00 g,46,0g
"KEEBLER, Mini Chocolate Chip Cookies, CHIPS DELUXE",100 g,5.20 g,68.00 g,31.00 g,2.4 g,2.70 g,498,23g
"ARCHWAY Home Style Cookies, Chocolate Chip Ice Box",100 g,4.28 g,65.02 g,34.06 g,2.0 g,5.01 g,497,24g
"Pie crust, baked, prepared, dry mix, standard-type",100 g,6.70 g,50.40 g,0,1.8 g,10.60 g,501,30g
"Peaches, with added sugar, stewed, sulfured, dried",100 g,1.06 g,26.60 g,0,2.4 g,71.38 g,103,0.2g
"Refried beans, reduced sodium, traditional, canned",100 g,4.98 g,13.55 g,0.54 g,3.7 g,77.75 g,89,2g
"Peas, drained solids, no salt added, canned, green",100 g,4.42 g,12.58 g,4.16 g,4.1 g,81.70 g,69,0.4g
"Candies, MILKY WAY Midnight Bar, MARS SNACKFOOD US",100 g,3.20 g,71.22 g,57.81 g,2.9 g,7.20 g,443,18g
"Oil, (partially hydrogenated), linoleic, sunflower",100 g,0.00 g,0.00 g,0.00 g,0.0 g,0.00 g,884,100g
"KEEBLER, Vanilla, Jumbo Fudge Sticks, FUDGE SHOPPE",100 g,2.40 g,68.60 g,51.20 g,1.7 g,1.00 g,530,27g
"Crustaceans, moist heat, cooked, alaska king, crab",100 g,19.35 g,0.00 g,0,0.0 g,77.55 g,97,1.5g
"USDA Commodity, raw, frozen, beef patties with VPP",100 g,15.21 g,3.84 g,0,1.3 g,63.35 g,225,16g
"Potatoes, with salt, flesh, cooked in skin, boiled",100 g,1.87 g,20.13 g,0.91 g,2.0 g,76.98 g,87,0.1g
"TACO BELL, cheese and lettuce, Soft Taco with beef",100 g,9.25 g,20.23 g,1.57 g,2.9 g,58.78 g,206,9.8g
"CAMPBELL'S Red and White, condensed, Tomato Bisque",100 g,1.59 g,18.25 g,11.90 g,0.8 g,75.40 g,103,2.8g
"Cauliflower, without salt, drained, boiled, cooked",100 g,1.84 g,4.11 g,2.08 g,2.3 g,93.00 g,23,0.5g
"Lamb, raw,  85% lean / 15% fat, ground, Australian",100 g,17.14 g,0.00 g,0,0,61.46 g,255,21g
"Lamb, raw, subcutaneous fat, imported, New Zealand",100 g,3.87 g,0.55 g,0.00 g,0.0 g,19.17 g,703,76g
"Soup, canned, HEALTHY CHOICE Chicken and Rice Soup",100 g,2.53 g,5.71 g,0.37 g,0.8 g,90.31 g,37,0.6g
"Soup, canned, HEALTHY CHOICE Garden Vegetable Soup",100 g,2.13 g,10.04 g,2.13 g,1.9 g,86.82 g,51,0.2g
"Cereals, dry, regular, white, hominy grits, QUAKER",100 g,8.80 g,79.20 g,0.64 g,1.6 g,10.00 g,361,1.6g
"Pumpkin leaves, with salt, drained, boiled, cooked",100 g,2.72 g,3.39 g,0.69 g,2.7 g,92.51 g,21,0.2g
"Pasta mix, unprepared, Italian four cheese lasagna",100 g,12.53 g,70.26 g,6.70 g,2.6 g,8.07 g,355,2.7g
"Carrots, solids and liquids, no salt added, canned",100 g,0.59 g,5.36 g,2.46 g,1.8 g,92.99 g,23,0.1g
"Cabbage, with salt, drained, boiled, cooked, savoy",100 g,1.80 g,5.41 g,0,2.8 g,92.00 g,24,0.1g
"Puddings, with added oil, regular, dry mix, banana",100 g,0.00 g,88.40 g,0,0.3 g,4.10 g,387,5g
"Turkey, raw, meat only, from whole bird, drumstick",100 g,23.66 g,0.14 g,0.05 g,0.0 g,74.89 g,109,1.5g
"School Lunch, whole grain breaded, chicken nuggets",100 g,15.67 g,22.86 g,0.49 g,2.2 g,46.53 g,270,13g
"Tomato products, without salt added, puree, canned",100 g,1.65 g,8.98 g,4.83 g,1.9 g,87.88 g,38,0.2g
"Tomato products, without salt added, paste, canned",100 g,4.32 g,18.91 g,12.18 g,4.1 g,73.50 g,82,0.5g
"Turnip greens, with salt, drained, boiled, cooked",100 g,1.14 g,4.36 g,0.53 g,3.5 g,93.20 g,20,0.2g
"Yam, with salt, or baked, drained, boiled, cooked",100 g,1.49 g,26.99 g,0.49 g,3.9 g,70.13 g,114,0.1g
"Yardlong bean, with salt, drained, boiled, cooked",100 g,2.53 g,9.17 g,0,0,87.47 g,47,0.1g
"Noodles, with added salt, unenriched, cooked, egg",100 g,4.54 g,25.16 g,0.40 g,1.2 g,67.73 g,138,2.1g
"Bamboo shoots, with salt, drained, boiled, cooked",100 g,1.53 g,1.52 g,0,1.0 g,95.92 g,11,0.2g
"Mollusks, dry heat, cooked, wild, eastern, oyster",100 g,8.87 g,4.23 g,0.96 g,0.0 g,82.98 g,79,2.7g
"Crustaceans, raw, farmed, mixed species, crayfish",100 g,14.85 g,0.00 g,0,0.0 g,84.05 g,72,1g
"Bread, toasted, prepared from recipe, whole-wheat",100 g,9.20 g,56.40 g,4.22 g,6.7 g,26.00 g,305,5.9g
"Cereals ready-to-eat, COOKIE CRISP, GENERAL MILLS",100 g,5.20 g,84.50 g,34.80 g,5.1 g,2.30 g,380,4.4g
"Cereals ready-to-eat, QUAKER CRUNCHY BRAN, QUAKER",100 g,6.37 g,83.68 g,20.66 g,15.3 g,2.50 g,331,4.1g
"Chicken breast, sliced, mesquite flavor, fat-free",100 g,16.80 g,2.25 g,0.20 g,0.0 g,76.73 g,80,0.4g
"Chicken, raw, meat only, back, broilers or fryers",100 g,19.56 g,0.00 g,0.00 g,0.0 g,75.31 g,137,5.9g
"Pork, pan-fried, cooked, pre-sliced, bacon, cured",100 g,33.92 g,1.70 g,0.00 g,0.0 g,23.65 g,468,35g
"Fish, dry heat, cooked, mixed species, yellowtail",100 g,29.67 g,0.00 g,0,0.0 g,67.33 g,187,6.7g
"PEPPERIDGE FARM, Farmhouse 100% Whole Wheat Bread",100 g,0.01 g,46.10 g,7.21 g,7.7 g,36.70 g,269,4.8g
"Cereals ready-to-eat, KASHI 7 Whole Grain Nuggets",100 g,11.80 g,81.00 g,5.00 g,11.7 g,3.00 g,356,2.8g
"Cereals ready-to-eat, WEETABIX whole grain cereal",100 g,11.43 g,81.50 g,5.71 g,11.4 g,3.00 g,371,2.9g
"Beverages, ready-to-drink, Muscle Milk, CYTOSPORT",100 g,5.87 g,2.06 g,0.78 g,0.2 g,88.80 g,49,2g
"Fast foods, and beef, cheese, with beans, burrito",100 g,7.03 g,23.37 g,2.10 g,3.7 g,60.90 g,180,6.8g
"Peas, solids and liquids, seasoned, canned, green",100 g,3.09 g,9.25 g,0,2.0 g,86.51 g,50,0.3g
"Fish, breaded and fried, cooked, channel, catfish",100 g,18.09 g,8.04 g,0,0.7 g,58.81 g,229,13g
"Cookies, pecan, commercially prepared, shortbread",100 g,4.90 g,58.30 g,0,1.8 g,3.30 g,542,33g
"Cookies, plain, commercially prepared, shortbread",100 g,5.37 g,63.78 g,21.65 g,1.3 g,3.60 g,514,26g
"Ham, packaged (96% fat free, water added), sliced",100 g,16.90 g,0.55 g,0.00 g,0.0 g,75.14 g,100,3.4g
"Cornmeal, enriched, degermed, self-rising, yellow",100 g,8.41 g,74.79 g,0,7.1 g,10.17 g,355,1.7g
"Beverages, ready-to-drink, chocolate, almond milk",100 g,0.63 g,9.38 g,8.75 g,0.4 g,88.43 g,50,1.3g
"MORNINGSTAR FARMS BBQ Riblets, unprepared, frozen",100 g,11.40 g,24.60 g,17.20 g,4.7 g,59.50 g,150,2.3g
"Peppers, solids and liquids, canned, green, sweet",100 g,0.80 g,3.90 g,0,1.2 g,91.25 g,18,0.3g
"Pizza, cooked, frozen, thin crust, cheese topping",100 g,11.91 g,28.80 g,3.71 g,3.0 g,46.01 g,263,11g
"Cereals ready-to-eat, original, BARBARA'S PUFFINS",100 g,7.41 g,84.00 g,18.52 g,18.5 g,3.59 g,333,3.7g
"Turkey, roasted, skin from whole (light and dark)",100 g,23.94 g,0.57 g,0.00 g,0.0 g,34.91 g,459,39g
"Potatoes, whole milk added, home-prepared, mashed",100 g,1.91 g,17.57 g,1.48 g,1.5 g,78.48 g,83,0.6g
"Rice, dry, enriched, parboiled, long-grain, white",100 g,7.51 g,80.89 g,0.33 g,1.8 g,9.86 g,374,1g
"Beverages, powder, decaffeinated, instant, coffee",100 g,11.60 g,76.00 g,0.00 g,0.0 g,3.20 g,351,0.2g
"Lamb, raw, kidneys, variety meats and by-products",100 g,15.74 g,0.82 g,0,0.0 g,79.23 g,97,3g
"Veal, raw, kidneys, variety meats and by-products",100 g,15.76 g,0.85 g,0,0.0 g,79.07 g,99,3.1g
"Babyfood, junior, cherry vanilla pudding, dessert",100 g,0.20 g,18.40 g,16.98 g,0.3 g,81.00 g,69,0.2g
"Chicken, roasted, cooked, meat and skin, roasting",100 g,23.97 g,0.00 g,0,0.0 g,62.10 g,223,13g
"Mollusks, steamed, cooked, (bay and sea), scallop",100 g,20.54 g,5.41 g,0.00 g,0.0 g,70.25 g,111,0.8g
"Cereals ready-to-eat, Frosted Flakes, MALT-O-MEAL",100 g,4.25 g,90.20 g,39.27 g,1.2 g,3.00 g,389,0.9g
"Beverages, shelf stable, unsweetened, almond milk",100 g,0.59 g,0.58 g,0.00 g,0.0 g,97.05 g,15,1.1g
"Cereals ready-to-eat, FRANKENBERRY, GENERAL MILLS",100 g,5.50 g,85.40 g,27.29 g,4.2 g,1.89 g,386,4.3g
"Beverages, DANNON, non-carbonated, bottled, water",100 g,0.00 g,0.00 g,0,0,99.98 g,0,0g
"PILLSBURY, refrigerated dough, Crusty French Loaf",100 g,8.59 g,46.35 g,5.06 g,2.6 g,38.82 g,243,2.9g
"CRACKER BARREL, fried, chicken tenderloin platter",100 g,18.06 g,20.29 g,0.09 g,0.7 g,43.12 g,293,15g
"Candies, dietetic or low calorie (sorbitol), hard",100 g,0.00 g,98.60 g,0.00 g,0.0 g,1.40 g,394,0g
"Lemon juice, single strength, unsweetened, frozen",100 g,0.46 g,6.50 g,2.40 g,0.4 g,92.39 g,22,0.3g
"KEEBLER, Honey Wheat, Snack Sticks, CLUB Crackers",100 g,6.50 g,66.00 g,14.00 g,3.1 g,2.20 g,471,21g
"Babyfood, strained, vegetables and turkey, dinner",100 g,2.32 g,7.62 g,1.54 g,1.5 g,88.82 g,48,0.9g
"Cereals ready-to-eat, QUAKER Puffed Wheat, QUAKER",100 g,16.26 g,76.39 g,1.37 g,9.4 g,3.69 g,366,2.2g
"Ground turkey, broiled, patties, 7% fat, 93% lean",100 g,25.86 g,0.00 g,0.00 g,0.0 g,62.42 g,207,11g
"Soup, condensed, canned, mushroom with beef stock",100 g,2.51 g,7.41 g,2.28 g,0.1 g,84.60 g,68,3.2g
"Cake, prepared from recipe, pineapple upside-down",100 g,3.50 g,50.50 g,0,0.8 g,32.30 g,319,12g
"KELLOGG'S, Chocolate Chip, Mini Muffin Tops, EGGO",100 g,5.20 g,45.00 g,18.50 g,1.2 g,34.70 g,300,11g
"Lemon juice from concentrate, REAL LEMON, bottled",100 g,0.47 g,5.66 g,1.59 g,0.7 g,93.57 g,17,0.1g
"Desserts, prepared-from-recipe, chocolate, mousse",100 g,4.14 g,16.07 g,14.81 g,0.6 g,62.94 g,225,16g
"Potatoes, home-prepared with margarine, scalloped",100 g,2.87 g,10.78 g,0,1.9 g,80.94 g,88,3.7g
"CAMPBELL'S CHUNKY Soups, Hearty Bean 'N' Ham Soup",100 g,4.49 g,12.24 g,2.04 g,3.3 g,81.60 g,74,0.8g
"Frozen novelties, no sugar added, fruit, ice type",100 g,0.50 g,6.20 g,0,0.0 g,93.20 g,24,0.1g
"Rennin, prepared with 2% milk, dry mix, chocolate",100 g,3.24 g,13.47 g,0,0.5 g,80.39 g,85,2.1g
"Restaurant, fried mozzarella sticks, family style",100 g,14.75 g,25.14 g,2.36 g,2.0 g,38.44 g,325,18g
"KEEBLER, Cheese & Peanut Butter Sandwich Crackers",100 g,10.80 g,59.00 g,9.00 g,3.2 g,2.00 g,492,25g
"Beverages, powder, sweetened, lemon, instant, tea",100 g,0.12 g,98.55 g,95.29 g,0.7 g,0.13 g,401,0.7g
"Pie, enriched flour, commercially prepared, apple",100 g,1.90 g,34.00 g,15.65 g,1.6 g,52.20 g,237,11g
"Infant formula, powder, store brand, PBM PRODUCTS",100 g,12.00 g,56.00 g,56.00 g,0.0 g,2.00 g,524,28g
"Peach nectar, without added ascorbic acid, canned",100 g,0.27 g,13.92 g,13.32 g,0.6 g,85.64 g,54,0g
"Jute, with salt, drained, boiled, cooked, potherb",100 g,3.68 g,7.29 g,1.00 g,2.0 g,87.15 g,37,0.2g
"Cress, with salt, drained, boiled, cooked, garden",100 g,1.90 g,3.80 g,3.11 g,0.7 g,92.50 g,23,0.6g
"Lotus root, without salt, drained, boiled, cooked",100 g,1.58 g,16.02 g,0.50 g,3.1 g,81.42 g,66,0.1g
"MURRAY, Coconut Bars Cookies, COOKIE JAR CLASSICS",100 g,7.10 g,73.90 g,22.60 g,2.0 g,2.50 g,461,16g
"Carrots, solids and liquids, regular pack, canned",100 g,0.58 g,5.37 g,2.46 g,1.8 g,92.99 g,23,0.1g
"Fish, raw (Alaska Native), king (chinook), salmon",100 g,20.25 g,0.00 g,0.00 g,0.0 g,65.96 g,187,12g
"Beverages, prepared with water, powder, Cocoa mix",100 g,0.92 g,11.54 g,9.03 g,0.5 g,86.34 g,55,0.6g
"Cream puff, iced, custard or cream filled, eclair",100 g,4.41 g,37.43 g,22.05 g,0.9 g,38.64 g,334,19g
"Babyfood, prepared with whole milk, mixed, cereal",100 g,4.14 g,12.30 g,4.78 g,0.8 g,79.21 g,96,3.4g
"Muffin, low-fat, commercially prepared, blueberry",100 g,4.23 g,50.05 g,27.05 g,4.2 g,39.94 g,255,4.2g
"Salad dressing, reduced calorie, italian dressing",100 g,0.30 g,6.70 g,1.94 g,0.2 g,70.00 g,200,20g
"Cream, light (coffee cream or table cream), fluid",100 g,2.96 g,2.82 g,3.67 g,0.0 g,74.51 g,191,19g
"Turkey, roasted, meat only, from whole bird, back",100 g,27.71 g,0.00 g,0.00 g,0.0 g,65.23 g,173,6g
"Prairie Turnips, boiled (Northern Plains Indians)",100 g,1.64 g,29.99 g,4.74 g,7.2 g,67.68 g,129,0.3g
"Yogurt, with low calorie sweetener, lowfat, fruit",100 g,4.86 g,18.60 g,2.90 g,0.0 g,74.10 g,105,1.4g
"Meat drippings (lard, beef tallow, mutton tallow)",100 g,0.00 g,0.00 g,0.00 g,0.0 g,0.00 g,889,99g
"Pork, heated, boneless, separable fat, ham, cured",100 g,8.77 g,2.00 g,0.28 g,0.0 g,35.47 g,507,52g
"Gravy, ready-to-serve, canned or bottled, chicken",100 g,0.71 g,5.29 g,0.30 g,0.1 g,90.30 g,48,2.6g
"Lima beans, raw, mature seeds, thin seeded (baby)",100 g,20.62 g,62.83 g,8.32 g,20.6 g,12.07 g,335,0.9g
"Frozen novelties, POPSICLE SCRIBBLERS, juice type",100 g,0.00 g,19.68 g,14.57 g,0.0 g,79.96 g,81,0.2g
"Ice creams, Butter Pecan, No Sugar Added, BREYERS",100 g,3.99 g,21.30 g,5.90 g,0.9 g,63.52 g,180,10g
"LOMA LINDA Low Fat Big Franks, unprepared, canned",100 g,23.10 g,4.90 g,0.30 g,4.1 g,65.60 g,154,4.7g
"Beverages, Tropical Blend, V8 SPLASH Juice Drinks",100 g,0.00 g,7.41 g,7.41 g,0,92.40 g,29,0g
"KEEBLER, Multigrain Crackers, TOPPERS, TOWN HOUSE",100 g,7.60 g,68.40 g,13.70 g,3.4 g,2.50 g,462,19g
"Salad dressing, milk cream, imitation, mayonnaise",100 g,2.10 g,11.10 g,0,0.0 g,79.60 g,97,5.1g
"Apples, with added sugar, stewed, sulfured, dried",100 g,0.20 g,20.73 g,0,1.9 g,78.76 g,83,0.1g
"Alcoholic beverage, BUDWEISER SELECT, light, beer",100 g,0.20 g,0.87 g,0,0.0 g,95.30 g,28,0g
"Seal, raw (Alaska Native), meat, bearded (Oogruk)",100 g,26.70 g,0.00 g,0,0,69.60 g,110,0.4g
"WORTHINGTON Vegetarian Burger, unprepared, canned",100 g,18.60 g,6.20 g,0.60 g,2.7 g,70.70 g,124,2.9g
"Sweet potato, without salt, baked, cooked, frozen",100 g,1.71 g,23.40 g,9.17 g,1.8 g,73.70 g,100,0.1g
"Soup, ready-to-serve, canned, beef and vegetables",100 g,3.18 g,6.16 g,1.25 g,1.2 g,88.22 g,48,1.2g
"Beverages, canned, orange and apricot juice drink",100 g,0.30 g,12.70 g,12.06 g,0.1 g,86.70 g,51,0.1g
"USDA Commodity pears, drained, juice pack, canned",100 g,0.34 g,12.91 g,8.27 g,2.2 g,86.26 g,51,0.2g
"KEEBLER, bite-size, Chocolate Chip Grahams, GRIPZ",100 g,7.40 g,75.60 g,22.80 g,11.0 g,2.50 g,433,13g
"Chicken, raw, meat only, neck, broilers or fryers",100 g,17.55 g,0.00 g,0,0.0 g,71.17 g,154,8.8g
"Pork sausage, unprepared, reduced fat, link/patty",100 g,16.75 g,0.20 g,0.00 g,0.0 g,64.21 g,217,17g
"Artichokes, unprepared, frozen, (globe or french)",100 g,2.63 g,7.75 g,0,3.9 g,88.59 g,38,0.4g
"Cereals, Regular, Instant Oatmeal Organic, QUAKER",100 g,16.00 g,67.00 g,1.00 g,9.8 g,8.80 g,367,6.3g
"Rice, unenriched, raw, regular, long-grain, white",100 g,7.13 g,79.95 g,0.12 g,1.3 g,11.62 g,365,0.7g
"Fast foods, french fried in vegetable oil, potato",100 g,3.43 g,41.44 g,0.30 g,3.8 g,38.55 g,312,15g
"Bacon, unprepared, reduced/low sodium, pre-sliced",100 g,12.53 g,0.83 g,0.83 g,0.0 g,45.01 g,407,39g
KRAFT CHEEZ WHIZ Pasteurized Process Cheese Sauce,100 g,12.00 g,9.20 g,6.70 g,0.3 g,51.50 g,276,21g
"Beverages, Strawberry Banana, V8 SPLASH Smoothies",100 g,1.22 g,8.16 g,7.35 g,0.0 g,90.28 g,37,0g
"T.G.I. FRIDAY'S, from kids' menu, chicken fingers",100 g,18.11 g,17.72 g,0.34 g,0.9 g,40.49 g,330,21g
"Chicken, raw, meat only, wing, broilers or fryers",100 g,21.97 g,0.00 g,0.00 g,0.0 g,74.95 g,126,3.5g
"Fast foods, large patty; plain, hamburger; single",100 g,16.51 g,23.16 g,0,0,42.10 g,311,17g
"Pork, crumbles, cooked, 96% lean / 4% fat, ground",100 g,30.55 g,0.00 g,0.00 g,0.0 g,61.03 g,187,7.2g
"Beverages, bottled, cranberry-apricot juice drink",100 g,0.20 g,16.20 g,0,0.1 g,83.50 g,64,0g
"Grapefruit juice, with added calcium, pink or red",100 g,0.50 g,8.69 g,8.33 g,0.0 g,90.00 g,38,0.1g
"Restaurant, spaghetti and meatballs, family style",100 g,7.84 g,15.51 g,2.03 g,1.5 g,66.64 g,170,8.5g
"Spaghetti, canned, with meatballs in tomato sauce",100 g,4.37 g,11.45 g,2.91 g,2.7 g,78.80 g,100,4.1g
"Lasagna with meat & sauce, frozen entree, low-fat",100 g,6.81 g,13.50 g,0,1.3 g,76.36 g,101,2.2g
"Sweetener, herbal extract powder from Stevia leaf",100 g,0.00 g,100.00 g,0.00 g,0.0 g,0.00 g,0,0g
"Babyfood, junior, applesauce and pineapple, fruit",100 g,0.10 g,10.50 g,0,1.5 g,89.10 g,39,0.1g
